year,patcnty,agegrp,count
2010,Kern,Older Mothers (35 years old or older),1448
2010,Kern,Teen Mothers (15 years old to 19 years old),1988
2010,Kern,Typical Aged Mothers (20 years old to 34 years old),10659
2010,Kings,Total Births,2047
2010,Kings,Older Mothers (35 years old or older),167
2010,Kings,Teen Mothers (15 years old to 19 years old),272
2010,Kings,Typical Aged Mothers (20 years old to 34 years old),1606
2010,Lake,Total Births,677
2010,Lake,Older Mothers (35 years old or older),58
2010,Lake,Teen Mothers (15 years old to 19 years old),85
2010,Lake,Typical Aged Mothers (20 years old to 34 years old),534
2010,Lassen,Total Births,269
2010,Lassen,Older Mothers (35 years old or older),25
2010,Lassen,Teen Mothers (15 years old to 19 years old),31
2010,Lassen,Typical Aged Mothers (20 years old to 34 years old),213
2010,Los Angeles,Total Births,130369
2010,Los Angeles,Older Mothers (35 years old or older),25618
2010,Los Angeles,Teen Mothers (15 years old to 19 years old),11617
2010,Los Angeles,Typical Aged Mothers (20 years old to 34 years old),93023
2010,Madera,Total Births,2462
2010,Madera,Older Mothers (35 years old or older),254
2010,Madera,Teen Mothers (15 years old to 19 years old),320
2010,Madera,Typical Aged Mothers (20 years old to 34 years old),1885
2010,Marin,Total Births,2262
2010,Marin,Older Mothers (35 years old or older),859
2010,Marin,Teen Mothers (15 years old to 19 years old),76
2010,Marin,Typical Aged Mothers (20 years old to 34 years old),1326
2010,Mendocino,Total Births,1021
2010,Mendocino,Older Mothers (35 years old or older),119
2010,Mendocino,Teen Mothers (15 years old to 19 years old),105
2010,Mendocino,Typical Aged Mothers (20 years old to 34 years old),797
2010,Merced,Total Births,4178
2010,Merced,Older Mothers (35 years old or older),466
2010,Merced,Teen Mothers (15 years old to 19 years old),502
2010,Merced,Typical Aged Mothers (20 years old to 34 years old),3203
2010,Monterey,Total Births,6469
2010,Monterey,Older Mothers (35 years old or older),930
2010,Monterey,Teen Mothers (15 years old to 19 years old),731
2010,Monterey,Typical Aged Mothers (20 years old to 34 years old),4797
2010,Napa,Total Births,1484
2010,Napa,Older Mothers (35 years old or older),305
2010,Napa,Teen Mothers (15 years old to 19 years old),106
2010,Napa,Typical Aged Mothers (20 years old to 34 years old),1073
2010,Nevada,Total Births,717
2010,Nevada,Older Mothers (35 years old or older),135
2010,Nevada,Teen Mothers (15 years old to 19 years old),43
2010,Nevada,Typical Aged Mothers (20 years old to 34 years old),538
2010,Orange,Total Births,37443
2010,Orange,Older Mothers (35 years old or older),8036
2010,Orange,Teen Mothers (15 years old to 19 years old),2468
2010,Orange,Typical Aged Mothers (20 years old to 34 years old),26902
2010,Placer,Total Births,3703
2010,Placer,Older Mothers (35 years old or older),666
2010,Placer,Teen Mothers (15 years old to 19 years old),170
2010,Placer,Typical Aged Mothers (20 years old to 34 years old),2866
2010,Riverside,Total Births,29694
2010,Riverside,Older Mothers (35 years old or older),4092
2010,Riverside,Teen Mothers (15 years old to 19 years old),2873
2010,Riverside,Typical Aged Mothers (20 years old to 34 years old),22700
2010,Sacramento,Total Births,19421
2010,Sacramento,Older Mothers (35 years old or older),2920
2010,Sacramento,Teen Mothers (15 years old to 19 years old),1566
2010,Sacramento,Typical Aged Mothers (20 years old to 34 years old),14917
2010,San Benito,Total Births,722
2010,San Benito,Older Mothers (35 years old or older),128
2010,San Benito,Teen Mothers (15 years old to 19 years old),45
2010,San Benito,Typical Aged Mothers (20 years old to 34 years old),549
2010,San Bernardino,Total Births,29666
2010,San Bernardino,Older Mothers (35 years old or older),3652
2010,San Bernardino,Teen Mothers (15 years old to 19 years old),3361
2010,San Bernardino,Typical Aged Mothers (20 years old to 34 years old),22625
2010,San Diego,Total Births,38880
2010,San Diego,Older Mothers (35 years old or older),7422
2010,San Diego,Teen Mothers (15 years old to 19 years old),2886
2010,San Diego,Typical Aged Mothers (20 years old to 34 years old),28543
2010,San Francisco,Total Births,8533
2010,San Francisco,Older Mothers (35 years old or older),3097
2010,San Francisco,Teen Mothers (15 years old to 19 years old),229
2010,San Francisco,Typical Aged Mothers (20 years old to 34 years old),5207
2010,San Joaquin,Total Births,10381
2010,San Joaquin,Older Mothers (35 years old or older),1400
2010,San Joaquin,Teen Mothers (15 years old to 19 years old),1056
2010,San Joaquin,Typical Aged Mothers (20 years old to 34 years old),7919
2010,San Luis Obispo,Total Births,2614
2010,San Luis Obispo,Older Mothers (35 years old or older),430
2010,San Luis Obispo,Teen Mothers (15 years old to 19 years old),196
2010,San Luis Obispo,Typical Aged Mothers (20 years old to 34 years old),1984
2010,San Mateo,Total Births,8402
2010,San Mateo,Older Mothers (35 years old or older),2476
2010,San Mateo,Teen Mothers (15 years old to 19 years old),285
2010,San Mateo,Typical Aged Mothers (20 years old to 34 years old),5636
2010,Santa Barbara,Total Births,5592
2010,Santa Barbara,Older Mothers (35 years old or older),859
2010,Santa Barbara,Teen Mothers (15 years old to 19 years old),628
2010,Santa Barbara,Typical Aged Mothers (20 years old to 34 years old),4104
2010,Santa Clara,Total Births,23916
2010,Santa Clara,Older Mothers (35 years old or older),5731
2010,Santa Clara,Teen Mothers (15 years old to 19 years old),1238
2010,Santa Clara,Typical Aged Mothers (20 years old to 34 years old),16925
2010,Santa Cruz,Total Births,3221
2010,Santa Cruz,Older Mothers (35 years old or older),629
2010,Santa Cruz,Teen Mothers (15 years old to 19 years old),283
2010,Santa Cruz,Typical Aged Mothers (20 years old to 34 years old),2308
2010,Shasta,Total Births,2075
2010,Shasta,Older Mothers (35 years old or older),181
2010,Shasta,Teen Mothers (15 years old to 19 years old),192
2010,Shasta,Typical Aged Mothers (20 years old to 34 years old),1702
2010,Siskiyou,Total Births,348
2010,Siskiyou,Older Mothers (35 years old or older),39
2010,Siskiyou,Teen Mothers (15 years old to 19 years old),44
2010,Siskiyou,Typical Aged Mothers (20 years old to 34 years old),265
2010,Solano,Total Births,4537
2010,Solano,Older Mothers (35 years old or older),691
2010,Solano,Teen Mothers (15 years old to 19 years old),351
2010,Solano,Typical Aged Mothers (20 years old to 34 years old),3490
2010,Sonoma,Total Births,5115
2010,Sonoma,Older Mothers (35 years old or older),954
2010,Sonoma,Teen Mothers (15 years old to 19 years old),343
2010,Sonoma,Typical Aged Mothers (20 years old to 34 years old),3814
2010,Stanislaus,Total Births,7688
2010,Stanislaus,Older Mothers (35 years old or older),954
2010,Stanislaus,Teen Mothers (15 years old to 19 years old),801
2010,Stanislaus,Typical Aged Mothers (20 years old to 34 years old),5925
2010,Sutter,Total Births,1311
2010,Sutter,Older Mothers (35 years old or older),157
2010,Sutter,Teen Mothers (15 years old to 19 years old),106
2010,Sutter,Typical Aged Mothers (20 years old to 34 years old),1048
2010,Tehama,Total Births,728
2010,Tehama,Older Mothers (35 years old or older),61
2010,Tehama,Teen Mothers (15 years old to 19 years old),103
2010,Tehama,Typical Aged Mothers (20 years old to 34 years old),564
2010,Tulare,Total Births,8024
2010,Tulare,Older Mothers (35 years old or older),856
2010,Tulare,Teen Mothers (15 years old to 19 years old),1119
2010,Tulare,Typical Aged Mothers (20 years old to 34 years old),6032
2010,Ventura,Total Births,10916
2010,Ventura,Older Mothers (35 years old or older),1976
2010,Ventura,Teen Mothers (15 years old to 19 years old),923
2010,Ventura,Typical Aged Mothers (20 years old to 34 years old),8003
2010,Yolo,Total Births,2376
2010,Yolo,Older Mothers (35 years old or older),428
2010,Yolo,Teen Mothers (15 years old to 19 years old),171
2010,Yolo,Typical Aged Mothers (20 years old to 34 years old),1776
2010,Yuba,Total Births,1202
2010,Yuba,Older Mothers (35 years old or older),102
2010,Yuba,Teen Mothers (15 years old to 19 years old),144
2010,Yuba,Typical Aged Mothers (20 years old to 34 years old),955
2011,Alameda,Total Births,18397
2011,Alameda,Older Mothers (35 years old or older),4435
2011,Alameda,Teen Mothers (15 years old to 19 years old),899
2011,Alameda,Typical Aged Mothers (20 years old to 34 years old),13048
2011,Butte,Total Births,2316
2011,Butte,Older Mothers (35 years old or older),268
2011,Butte,Teen Mothers (15 years old to 19 years old),202
2011,Butte,Typical Aged Mothers (20 years old to 34 years old),1845
2011,Calaveras,Total Births,313
2011,Calaveras,Older Mothers (35 years old or older),37
2011,Calaveras,Teen Mothers (15 years old to 19 years old),23
2011,Calaveras,Typical Aged Mothers (20 years old to 34 years old),253
2011,Colusa,Total Births,292
2011,Colusa,Older Mothers (35 years old or older),44
2011,Colusa,Teen Mothers (15 years old to 19 years old),23
2011,Colusa,Typical Aged Mothers (20 years old to 34 years old),225
2011,Contra Costa,Total Births,11720
2011,Contra Costa,Older Mothers (35 years old or older),2649
2011,Contra Costa,Teen Mothers (15 years old to 19 years old),611
2011,Contra Costa,Typical Aged Mothers (20 years old to 34 years old),8454
2011,Del Norte,Total Births,319
2011,Del Norte,Older Mothers (35 years old or older),29
2011,Del Norte,Teen Mothers (15 years old to 19 years old),36
2011,Del Norte,Typical Aged Mothers (20 years old to 34 years old),254
2011,El Dorado,Total Births,1532
2011,El Dorado,Older Mothers (35 years old or older),276
2011,El Dorado,Teen Mothers (15 years old to 19 years old),67
2011,El Dorado,Typical Aged Mothers (20 years old to 34 years old),1187
2011,Fresno,Total Births,15950
2011,Fresno,Older Mothers (35 years old or older),1944
2011,Fresno,Teen Mothers (15 years old to 19 years old),1766
2011,Fresno,Typical Aged Mothers (20 years old to 34 years old),12211
2011,Glenn,Total Births,380
2011,Glenn,Older Mothers (35 years old or older),43
2011,Glenn,Teen Mothers (15 years old to 19 years old),40
2011,Glenn,Typical Aged Mothers (20 years old to 34 years old),295
2011,Humboldt,Total Births,1380
2011,Humboldt,Older Mothers (35 years old or older),171
2011,Humboldt,Teen Mothers (15 years old to 19 years old),104
2011,Humboldt,Typical Aged Mothers (20 years old to 34 years old),1102
2011,Imperial,Total Births,3030
2011,Imperial,Older Mothers (35 years old or older),306
2011,Imperial,Teen Mothers (15 years old to 19 years old),381
2011,Imperial,Typical Aged Mothers (20 years old to 34 years old),2340
2011,Inyo,Total Births,210
2011,Inyo,Older Mothers (35 years old or older),25
2011,Inyo,Teen Mothers (15 years old to 19 years old),23
2011,Inyo,Typical Aged Mothers (20 years old to 34 years old),162
2011,Kern,Total Births,13941
2011,Kern,Older Mothers (35 years old or older),1475
2011,Kern,Teen Mothers (15 years old to 19 years old),1818
2011,Kern,Typical Aged Mothers (20 years old to 34 years old),10629
2011,Kings,Total Births,2106
2011,Kings,Older Mothers (35 years old or older),221
2011,Kings,Teen Mothers (15 years old to 19 years old),276
2011,Kings,Typical Aged Mothers (20 years old to 34 years old),1604
2011,Lake,Total Births,689
2011,Lake,Older Mothers (35 years old or older),64
2011,Lake,Teen Mothers (15 years old to 19 years old),73
2011,Lake,Typical Aged Mothers (20 years old to 34 years old),552
2011,Lassen,Total Births,261
2011,Lassen,Older Mothers (35 years old or older),17
2011,Lassen,Teen Mothers (15 years old to 19 years old),29
2011,Lassen,Typical Aged Mothers (20 years old to 34 years old),215
2011,Los Angeles,Total Births,127613
2011,Los Angeles,Older Mothers (35 years old or older),25857
2011,Los Angeles,Teen Mothers (15 years old to 19 years old),10306
2011,Los Angeles,Typical Aged Mothers (20 years old to 34 years old),91329
2011,Madera,Total Births,2445
2011,Madera,Older Mothers (35 years old or older),316
2011,Madera,Teen Mothers (15 years old to 19 years old),275
2011,Madera,Typical Aged Mothers (20 years old to 34 years old),1848
2011,Marin,Total Births,2271
2011,Marin,Older Mothers (35 years old or older),882
2011,Marin,Teen Mothers (15 years old to 19 years old),76
2011,Marin,Typical Aged Mothers (20 years old to 34 years old),1311
2011,Mendocino,Total Births,1013
2011,Mendocino,Older Mothers (35 years old or older),133
2011,Mendocino,Teen Mothers (15 years old to 19 years old),95
2011,Mendocino,Typical Aged Mothers (20 years old to 34 years old),784
2011,Merced,Total Births,4166
2011,Merced,Older Mothers (35 years old or older),483
2011,Merced,Teen Mothers (15 years old to 19 years old),499
2011,Merced,Typical Aged Mothers (20 years old to 34 years old),3179
2011,Monterey,Total Births,6611
2011,Monterey,Older Mothers (35 years old or older),914
2011,Monterey,Teen Mothers (15 years old to 19 years old),697
2011,Monterey,Typical Aged Mothers (20 years old to 34 years old),4990
2011,Napa,Total Births,1523
2011,Napa,Older Mothers (35 years old or older),300
2011,Napa,Teen Mothers (15 years old to 19 years old),102
2011,Napa,Typical Aged Mothers (20 years old to 34 years old),1120
2011,Nevada,Total Births,680
2011,Nevada,Older Mothers (35 years old or older),109
2011,Nevada,Teen Mothers (15 years old to 19 years old),51
2011,Nevada,Typical Aged Mothers (20 years old to 34 years old),520
2011,Orange,Total Births,37210
2011,Orange,Older Mothers (35 years old or older),8244
2011,Orange,Teen Mothers (15 years old to 19 years old),2227
2011,Orange,Typical Aged Mothers (20 years old to 34 years old),26706
2011,Placer,Total Births,3662
2011,Placer,Older Mothers (35 years old or older),711
2011,Placer,Teen Mothers (15 years old to 19 years old),135
2011,Placer,Typical Aged Mothers (20 years old to 34 years old),2816
2011,Riverside,Total Births,29574
2011,Riverside,Older Mothers (35 years old or older),4091
2011,Riverside,Teen Mothers (15 years old to 19 years old),2559
2011,Riverside,Typical Aged Mothers (20 years old to 34 years old),22904
2011,Sacramento,Total Births,19422
2011,Sacramento,Older Mothers (35 years old or older),2980
2011,Sacramento,Teen Mothers (15 years old to 19 years old),1434
2011,Sacramento,Typical Aged Mothers (20 years old to 34 years old),14998
2011,San Benito,Total Births,751
2011,San Benito,Older Mothers (35 years old or older),120
2011,San Benito,Teen Mothers (15 years old to 19 years old),55
2011,San Benito,Typical Aged Mothers (20 years old to 34 years old),575
2011,San Bernardino,Total Births,28935
2011,San Bernardino,Older Mothers (35 years old or older),3775
2011,San Bernardino,Teen Mothers (15 years old to 19 years old),2958
2011,San Bernardino,Typical Aged Mothers (20 years old to 34 years old),22169
2011,San Diego,Total Births,37884
2011,San Diego,Older Mothers (35 years old or older),7303
2011,San Diego,Teen Mothers (15 years old to 19 years old),2537
2011,San Diego,Typical Aged Mothers (20 years old to 34 years old),28027
2011,San Francisco,Total Births,8626
2011,San Francisco,Older Mothers (35 years old or older),3089
2011,San Francisco,Teen Mothers (15 years old to 19 years old),224
2011,San Francisco,Typical Aged Mothers (20 years old to 34 years old),5307
2011,San Joaquin,Total Births,10140
2011,San Joaquin,Older Mothers (35 years old or older),1363
2011,San Joaquin,Teen Mothers (15 years old to 19 years old),921
2011,San Joaquin,Typical Aged Mothers (20 years old to 34 years old),7848
2011,San Luis Obispo,Total Births,2538
2011,San Luis Obispo,Older Mothers (35 years old or older),420
2011,San Luis Obispo,Teen Mothers (15 years old to 19 years old),143
2011,San Luis Obispo,Typical Aged Mothers (20 years old to 34 years old),1972
2011,San Mateo,Total Births,8152
2011,San Mateo,Older Mothers (35 years old or older),2480
2011,San Mateo,Teen Mothers (15 years old to 19 years old),248
2011,San Mateo,Typical Aged Mothers (20 years old to 34 years old),5423
2011,Santa Barbara,Total Births,5631
2011,Santa Barbara,Older Mothers (35 years old or older),874
2011,Santa Barbara,Teen Mothers (15 years old to 19 years old),554
2011,Santa Barbara,Typical Aged Mothers (20 years old to 34 years old),4197
2011,Santa Clara,Total Births,23680
2011,Santa Clara,Older Mothers (35 years old or older),5648
2011,Santa Clara,Teen Mothers (15 years old to 19 years old),1137
2011,Santa Clara,Typical Aged Mothers (20 years old to 34 years old),16884
2011,Santa Cruz,Total Births,3241
2011,Santa Cruz,Older Mothers (35 years old or older),671
2011,Santa Cruz,Teen Mothers (15 years old to 19 years old),265
2011,Santa Cruz,Typical Aged Mothers (20 years old to 34 years old),2301
2011,Shasta,Total Births,1981
2011,Shasta,Older Mothers (35 years old or older),188
2011,Shasta,Teen Mothers (15 years old to 19 years old),184
2011,Shasta,Typical Aged Mothers (20 years old to 34 years old),1608
2011,Siskiyou,Total Births,370
2011,Siskiyou,Older Mothers (35 years old or older),35
2011,Siskiyou,Teen Mothers (15 years old to 19 years old),28
2011,Siskiyou,Typical Aged Mothers (20 years old to 34 years old),307
2011,Solano,Total Births,4612
2011,Solano,Older Mothers (35 years old or older),739
2011,Solano,Teen Mothers (15 years old to 19 years old),338
2011,Solano,Typical Aged Mothers (20 years old to 34 years old),3533
2011,Sonoma,Total Births,4925
2011,Sonoma,Older Mothers (35 years old or older),928
2011,Sonoma,Teen Mothers (15 years old to 19 years old),304
2011,Sonoma,Typical Aged Mothers (20 years old to 34 years old),3688
2011,Stanislaus,Total Births,7619
2011,Stanislaus,Older Mothers (35 years old or older),891
2011,Stanislaus,Teen Mothers (15 years old to 19 years old),705
2011,Stanislaus,Typical Aged Mothers (20 years old to 34 years old),6017
2011,Sutter,Total Births,1296
2011,Sutter,Older Mothers (35 years old or older),154
2011,Sutter,Teen Mothers (15 years old to 19 years old),100
2011,Sutter,Typical Aged Mothers (20 years old to 34 years old),1042
2011,Tehama,Total Births,683
2011,Tehama,Older Mothers (35 years old or older),64
2011,Tehama,Teen Mothers (15 years old to 19 years old),64
2011,Tehama,Typical Aged Mothers (20 years old to 34 years old),555
2011,Tulare,Total Births,7847
2011,Tulare,Older Mothers (35 years old or older),895
2011,Tulare,Teen Mothers (15 years old to 19 years old),1016
2011,Tulare,Typical Aged Mothers (20 years old to 34 years old),5925
2011,Ventura,Total Births,10391
2011,Ventura,Older Mothers (35 years old or older),1881
2011,Ventura,Teen Mothers (15 years old to 19 years old),858
2011,Ventura,Typical Aged Mothers (20 years old to 34 years old),7646
2011,Yolo,Total Births,2307
2011,Yolo,Older Mothers (35 years old or older),408
2011,Yolo,Teen Mothers (15 years old to 19 years old),160
2011,Yolo,Typical Aged Mothers (20 years old to 34 years old),1738
2011,Yuba,Total Births,1238
2011,Yuba,Older Mothers (35 years old or older),109
2011,Yuba,Teen Mothers (15 years old to 19 years old),97
2011,Yuba,Typical Aged Mothers (20 years old to 34 years old),1030
2012,Alameda,Total Births,18942
2012,Alameda,Older Mothers (35 years old or older),4674
2012,Alameda,Teen Mothers (15 years old to 19 years old),818
2012,Alameda,Typical Aged Mothers (20 years old to 34 years old),13441
2012,Butte,Total Births,2338
2012,Butte,Older Mothers (35 years old or older),269
2012,Butte,Teen Mothers (15 years old to 19 years old),191
2012,Butte,Typical Aged Mothers (20 years old to 34 years old),1878
2012,Calaveras,Total Births,324
2012,Calaveras,Older Mothers (35 years old or older),38
2012,Calaveras,Teen Mothers (15 years old to 19 years old),24
2012,Calaveras,Typical Aged Mothers (20 years old to 34 years old),262
2012,Colusa,Total Births,310
2012,Colusa,Older Mothers (35 years old or older),36
2012,Colusa,Teen Mothers (15 years old to 19 years old),26
2012,Colusa,Typical Aged Mothers (20 years old to 34 years old),248
2012,Contra Costa,Total Births,11677
2012,Contra Costa,Older Mothers (35 years old or older),2639
2012,Contra Costa,Teen Mothers (15 years old to 19 years old),544
2012,Contra Costa,Typical Aged Mothers (20 years old to 34 years old),8483
2012,Del Norte,Total Births,287
2012,Del Norte,Older Mothers (35 years old or older),16
2012,Del Norte,Teen Mothers (15 years old to 19 years old),35
2012,Del Norte,Typical Aged Mothers (20 years old to 34 years old),235
2012,El Dorado,Total Births,1442
2012,El Dorado,Older Mothers (35 years old or older),262
2012,El Dorado,Teen Mothers (15 years old to 19 years old),73
2012,El Dorado,Typical Aged Mothers (20 years old to 34 years old),1106
2012,Fresno,Total Births,15755
2012,Fresno,Older Mothers (35 years old or older),1923
2012,Fresno,Teen Mothers (15 years old to 19 years old),1689
2012,Fresno,Typical Aged Mothers (20 years old to 34 years old),12124
2012,Glenn,Total Births,362
2012,Glenn,Older Mothers (35 years old or older),38
2012,Glenn,Teen Mothers (15 years old to 19 years old),38
2012,Glenn,Typical Aged Mothers (20 years old to 34 years old),286
2012,Humboldt,Total Births,1454
2012,Humboldt,Older Mothers (35 years old or older),191
2012,Humboldt,Teen Mothers (15 years old to 19 years old),97
2012,Humboldt,Typical Aged Mothers (20 years old to 34 years old),1165
2012,Imperial,Total Births,2951
2012,Imperial,Older Mothers (35 years old or older),337
2012,Imperial,Teen Mothers (15 years old to 19 years old),319
2012,Imperial,Typical Aged Mothers (20 years old to 34 years old),2290
2012,Inyo,Total Births,205
2012,Inyo,Older Mothers (35 years old or older),29
2012,Inyo,Teen Mothers (15 years old to 19 years old),17
2012,Inyo,Typical Aged Mothers (20 years old to 34 years old),159
2012,Kern,Total Births,14041
2012,Kern,Older Mothers (35 years old or older),1544
2012,Kern,Teen Mothers (15 years old to 19 years old),1662
2012,Kern,Typical Aged Mothers (20 years old to 34 years old),10818
2012,Kings,Total Births,1990
2012,Kings,Older Mothers (35 years old or older),224
2012,Kings,Teen Mothers (15 years old to 19 years old),204
2012,Kings,Typical Aged Mothers (20 years old to 34 years old),1559
2012,Lake,Total Births,702
2012,Lake,Older Mothers (35 years old or older),89
2012,Lake,Teen Mothers (15 years old to 19 years old),63
2012,Lake,Typical Aged Mothers (20 years old to 34 years old),550
2012,Lassen,Total Births,249
2012,Lassen,Older Mothers (35 years old or older),25
2012,Lassen,Teen Mothers (15 years old to 19 years old),27
2012,Lassen,Typical Aged Mothers (20 years old to 34 years old),197
2012,Los Angeles,Total Births,129520
2012,Los Angeles,Older Mothers (35 years old or older),27182
2012,Los Angeles,Teen Mothers (15 years old to 19 years old),9151
2012,Los Angeles,Typical Aged Mothers (20 years old to 34 years old),93086
2012,Madera,Total Births,2257
2012,Madera,Older Mothers (35 years old or older),258
2012,Madera,Teen Mothers (15 years old to 19 years old),260
2012,Madera,Typical Aged Mothers (20 years old to 34 years old),1734
2012,Marin,Total Births,2195
2012,Marin,Older Mothers (35 years old or older),851
2012,Marin,Teen Mothers (15 years old to 19 years old),52
2012,Marin,Typical Aged Mothers (20 years old to 34 years old),1292
2012,Mendocino,Total Births,1075
2012,Mendocino,Older Mothers (35 years old or older),166
2012,Mendocino,Teen Mothers (15 years old to 19 years old),98
2012,Mendocino,Typical Aged Mothers (20 years old to 34 years old),810
2012,Merced,Total Births,4213
2012,Merced,Older Mothers (35 years old or older),481
2012,Merced,Teen Mothers (15 years old to 19 years old),456
2012,Merced,Typical Aged Mothers (20 years old to 34 years old),3276
2012,Monterey,Total Births,6387
2012,Monterey,Older Mothers (35 years old or older),973
2012,Monterey,Teen Mothers (15 years old to 19 years old),603
2012,Monterey,Typical Aged Mothers (20 years old to 34 years old),4805
2012,Napa,Total Births,1398
2012,Napa,Older Mothers (35 years old or older),290
2012,Napa,Teen Mothers (15 years old to 19 years old),103
2012,Napa,Typical Aged Mothers (20 years old to 34 years old),1005
2012,Nevada,Total Births,705
2012,Nevada,Older Mothers (35 years old or older),120
2012,Nevada,Teen Mothers (15 years old to 19 years old),39
2012,Nevada,Typical Aged Mothers (20 years old to 34 years old),546
2012,Orange,Total Births,37274
2012,Orange,Older Mothers (35 years old or older),8295
2012,Orange,Teen Mothers (15 years old to 19 years old),2080
